date,score,content
2025년 10월 3일,5,"안녕하세요, 지난번 리뷰로 가게요청사항 가게마다 저장되는지 리뷰를 남겼었는데요. 관련 기능이 만들어져서 유용하게 사용중입니다. 다름이 아니라 다른 건의드리고 싶은 사항이 있어 기존 리뷰삭제 후 다시 남깁니다. 가게를 차단하거나 숨길 수 있는 기능이 만들어지면 좋겠습니다. 여러번 주문하면서 가게에서 개선되지 않는 문제가 있어 다시는 주문하고싶지 않은 가게를 숨기거나 차단하고 싶습니다. 메뉴 검색 시 여전히 그 가게가 보이는데, 시일이 지나 주문하거나 하는 경우 기억이 나지 않아 다시 주문하는 불상사를 막고 싶습니다. 맛이 너무 없고 안 맞는 가게들도 숨길 수 있다면 실패 경험을 줄이고 다른 가게들을 찾아가며 선택의 폭을 넓힐 수 있을것 같습니다. 꼭 이 기능이 개설되었으면 합니다. 읽어주셔서 감사합니다."
2025년 11월 5일,5,아 진짜 할많하않입니다. 무료인 가게배달이 있음에도 빠르게 받고싶어서 배달비를 지불하였음에도 기존 공지되었던 시간과 다르게 지연되는 일이 너무 빈번합니다. 5~10분도 아니고 20~30분씩. 그리고서 꼴랑 카톡으로 지연 이해부탁드립니다? 제가 왜 이해를 해야하죠? 구조적으로 문제가 있으면 고칠 생각을 해야하셔야지 왜 이걸 소비자한테 떠넘기는 구조인지 도저히 이해가 안됩니다. 제 배달비는 누가 보상해주나요? 이 문제가 개선되기전까지는 앞으로 사용하지 않을 것 같습니다.
2025년 11월 12일,5,"배달의민족 쿠폰 우연히 생겨서 주문했고, 주소지를 잘못입력해서 배달 중에 상담사 통해 주소지 변경했습니다. 라이더에게 전달되었으니 걱정말라고하셨구요. 근데 몇분뒤 문자로 배달음식이 폐기되었다고 연락이왔습니다. 저한테는 사전에 어떤 연락도 없었구요. 고객센터로 전화하니 일처리부서랑 연결되는데 전화를 5번정도 토스할정도로 오래걸렸습니다. 배달부터 문의까지 모든 과정이 최악이에요.. 일처리 이따위로 하지마세요. 배민쿠폰은 다시는 안쓸거고 쿠팡이츠만 쓸게요"
2025년 11월 11일,5,선물받아서 쿠폰 등록해서 쓰려는데 휴대폰 인증과정에서 정보가틀리다고 인증이 안되네요 휴대폰은 다른앱은 정보틀리면 수정이라도 되는데 어디가 틀리지 확인도 안되고 고객센터전화하니 정보초기화 해야한다며 서류를 접수하고 몇 일 걸린다네요 구시대도 아니고 휴대폰본인인증이나 인증서도 있는데 너무 번거로워서 굳이 사용해야 싶네요
2025년 9월 23일,5,주문 내역도 보이고 현재 위치도 제대로 잡히고 처음 화면에서는 주변 가게 광고도 잘 보이는데 주문하려고 누르기만 하면 화면을 불러오지 못하고 연결 상태 불안정하다는 메시지만 반복되어 사용이 불가함. 다른 앱 이용에는 전혀 문제가 없는데 왜 배민만 연결이 불안정한건지 알 수 없음. 앱을 삭제 후 재설치도 해봤지만 먹통임
2025년 10월 3일,5,"20~30분 걸린다고 해서 추가비용 지급하고 한집배달로 시켰는데 50분이 걸리면 제가 왜 추가비용을 지급해서까지 배민을 이용해야 하는지 모르겠습니다. 심지어 배달 현황에서 라이더 위치를 확인해보니 한집배달을 하는 것도 아니고 여러 장소를 들렀다 옵니다. 한 두 번도 아니고 몇 번 씩 예정시간보다 1.5배의 시간을 들여서 받기에, 배달 어플에서 제일 중요한 라이더 관리도 제대로 못하는 어플을 더 이상 사용하고 싶지 않습니다."
2025년 10월 10일,5,전화번호를 바꿨는데 이전 번호로 설정돼 있어서 주소를 잘못 입력해가지고 가게에 연락했지만 라이더 번호 조회가 안돼서 수정을 못했습니다 그래서 고객센터에 문의했지만 대기 시간 동안 배달이 자체 폐기 처리가 되어버렸고 연결 후 상황 설명했으나 부서 전환만 반복되고 결국 해결 못 받고 재문의 요청만 받았습니다. 한 5시간동안 전화상담에만 시간을 쓴것 같은데 부서만 자꾸 바뀌어버리니까 정확한 답변을 못받아서 너무 화가 났습니다. 결국엔 마지막에 채팅 상담으로 답변은 얻었지만 라이더님 잘못이라고 보기에는 어렵기도하고 제 잘못도 있다고 하셔서 저도 힘들어서 더이상 얘기하진 않았습니다. 7시간 만에 불의한 답변 한마디를 받았는데요 처음부터 정확한 답을 안주고 기다리게 만들으시니까 너무 스트레스를 많이 받았던것 같습니다.. 특이한 상황이지만 앞으로 정확한 답변이라도 해주셨으면 좋겠습니다. 2만원 날려서 분한것도 있지만 신속한 답변을 못받은게 더화가 났던것 같습니다.
2025년 10월 25일,5,고객센터 상담원 대응 개별로네요 한번도 픽업으로 시킨 적이 없는데 픽업으로 자동 선택 돼서 고객센터 전화해 주문취소하고(돈을 돌려 받아야 재주문 하든지 말든지 하지) 재주문 넣으면 간단히 해결되는 걸 가게 측에 물어보지도 않고 조리 들어가셔서 취소 안 되세요~ 재주문 넣으신 거 확인하셔야 취소되세요 하며 한숨 쉬고 가게 측이 동의해도 주문취소 안 되냐 물으니 그제야 전화해서 물어보고 취소해 주네요ㅋㅋ
2025년 9월 26일,5,"배민 자주 쓰는데 딱하나 추가 되었으면 하는게 있습니다. 주문하고 맛없는 가게는 다시는 안시켜먹고 싶은데. 리뷰를 쓰자니 맛은없지만 열심히 사는 사람들 별점 깎아먹긴 싫고 해서 리뷰를 안남기는데 개인적으로 혼자만 보이는 가게 별점이라던지 블랙리스트 가게 라던지 아니면 가게이름에 메모남길수 있게하거나 이런거 좀 추가해주세요. 내입에 맛없는가게, 그럭저럭 괜찮은그게, 맛잇는가게, 아주 맛있는가게 이런식으로 나누고 싶은데 이건뭐 찜밖에 없으니. 오늘도 드럽게 맛없는가게 주문해서 성질 겁나나서 첨으로 1점 남기고 심한말 쓰려다가 참습니다. 맛없는가게 표시해놓고 내가 안먹겟다는데 그걸 표시할 수단을 주세요. 리뷰 1점쓰고 맛은 없더라도 열심히 사는 사람들 상처받게 하기 싫습니다."
2025년 10월 22일,5,"기능 안내가 부족했고, 제 리뷰는 알 수 없이 숨겨져 있어 편집할 수도 없었고, 새 리뷰를 남길 기회도 없습니다. ""실시간 채팅 상담"" 입력란조차 이용할 수 없어 해당 기능은 거의 쓸모없다고 봐야겠네요. 배민에 대해서는 항상 좋은 인상을 가지고 있었는데, 실제 사용 경험은 실망스러웠습니다."
2025년 11월 7일,5,정말 화가 나지만 침착하게 남깁니다. 결제시 현금 영수증이 가능한 결제 수단의 경우 현금 영수증 입력칸이 뜹니다. 카카오페이를 결제수단으로 선택했더니 역시 현금 영수증 칸이 뜨길래 입력하고 배달시켰죠.근데 갑자기 현금 영수증이 안된다고 합니다. 왤까요? 바로 카페에서 결제한건 안된다고 하네요. 그러면 애초에 경고 메세지나 작게 표시라도 해야하는거 아닌가요? 앱을 이렇게 만들고 책임은 소비자한테 지라고 하고 ㅋㅋ
2025년 9월 28일,5,다 좋은데요. 소비자가 프랜차이즈나 한 주소에서 여러 음식점을 하고있는걸 좀 더 알기 쉽게 표기해줬으면 하네요. 매번 음식점 들어가서 확인하는것도 그렇고요. 아니면 음식점 숨기기를 만들어주세요. 매번 이게 식당음식이라고? 싶은 음식들만 보면 한집에서 여러음식 하는데에요. 거르기가 너무 불편한데 ㅋㅋ..
2025년 10월 1일,5,배달원이 안잡히면 배달시간은 계속 늘어가고 상담원 연결은 힘들어서 취소도 어렵고 이럴거면 배달앱을 쓰는 이유가 없지않을까요. 무슨 도착 예정시간이 처음보다 30분 넘게 지나요. 그나마 배달 어플중에서 제일 오래썼던거라 말 많아도 그냥 안지우고 자주 썼는데 이제 갈아탈 때가 된 것 같네요.
